id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,image,Extra Product Media/Name
55,Volvo V40 T5 | D3 | D4 M – Lowering Springs – Front 35mm – Rear 45mm,GOODS,Lowering Springs,,,179.99,0,0.01,VOLVO V40 T5/D3/D4 - M - 07/2012+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
56,VW Scirocco 1.4TSI(122PK) – Lowering Springs – Front 35mm – Rear 35mm,GOODS,Lowering Springs,,,179.99,0,0.01,VW SCIROCCO 1.4TSI(122PK) - 09/2008+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
57,VW Polo 1.2TSI Automatic Gear | 1.2TDI | 1.4TDI | 1.6TDI 6R – Lowering Springs – Front 35mm – Rear 40mm,GOODS,Lowering Springs,,,159.99,0,0.01,VW POLO 1.2TSI AUTOMATIC GEAR/1.2TDI/1.4TDI/1.6TDI - 6R - 06/2009+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
58,VW Scirocco 1.4TSI(160PK) | 2.0TSI | 2.0TDI 13 – Lowering Springs – Front 25mm – Rear 25mm,GOODS,Lowering Springs,,,179.99,0,0.01,VW SCIROCCO 1.4TSI(160PK)/2.0TSI/2.0TDI - 13 - 09/2008+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
59,Volvo S80 MK1 98-06 – Lowering Springs – Front 30mm – Rear 30mm,GOODS,Lowering Springs,,,219.99,0,0.01,VOLVO S80 (all engine types) - 10/1998 to 02/2006,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
60,VW Passat 2.0TDI 3C – Lowering Springs – Front 40mm – Rear 40mm,GOODS,Lowering Springs,,,179.99,0,0.01,VW PASSAT 2.0TDI - 3C - 2005 to 11/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
61,VW Scirocco 1.4TSI(160PK) | 2.0TSI | 2.0TDI – Lowering Springs – Front 35mm – Rear 35mm,GOODS,Lowering Springs,,,179.99,0,0.01,VW SCIROCCO 1.4TSI(160PK)/2.0TSI/2.0TDI - 09/2008+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
62,VW Transporter T5 + Facelift 2009- T5 – Lowering Springs – Front 40mm – Rear 40mm,GOODS,Lowering Springs,,,239.99,0,0.01,VW TRANSPORTER T5 + FACELIFT 2009- T5 - 2003+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
63,Volvo V50 | S40 1.6 M – Lowering Springs – Front 30mm – Rear 30mm,GOODS,Lowering Springs,,,179.99,0,0.01,VOLVO V50/S40 1.6 - M - 2004 to 07/2012,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
64,VW Passat CC 1.8TSI | 2.0TSI | 2.0TDI – Lowering Springs – Front 25mm – Rear 20mm,GOODS,Lowering Springs,,,179.99,0,0.01,VW PASSAT CC 1.8TSI/2.0TSI/2.0TDI - 06/2008+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
